ID,Transaction,Time,Item -code,Quantity,CostPerItem,CITY,Total_Cost,Clusters,group
958,2001,Sat Feb 02 12:50:00 IST 2019,547,6,11.73,Ras Al Khaimah,70.38,1,higth_risk
1451,1797,Wed Dec 26 09:06:00 IST 2018,530,3,3.52,Ras Al Khaimah,10.56,3,good
1400,1999,Fri Feb 15 09:45:00 IST 2019,419,72,0.9,Umm Al Quwain,64.8,2,risk
458,1874,Fri Jun 22 07:14:00 IST 2018,286,3,1.73,Ras Al Khaimah,5.1899999999999995,4,v.good
1404,1786,Mon Sep 10 11:58:00 IST 2018,267,3,3.4,Ras Al Khaimah,10.2,4,v.good
1157,2045,Fri Jan 11 09:50:00 IST 2019,568,12,3.52,Ras Al Khaimah,42.24,1,higth_risk
438,2065,Fri Sep 28 10:51:00 IST 2018,451,9,6.84,Ras Al Khaimah,61.56,1,higth_risk
1471,1884,Mon Sep 10 11:58:00 IST 2018,305,120,1.15,Ras Al Khaimah,138.0,2,risk
663,1892,Mon Dec 10 09:23:00 IST 2018,440,36,1.18,Ras Al Khaimah,42.48,4,v.good
274,2056,Sat Feb 16 10:35:00 IST 2019,639,36,3.99,Ras Al Khaimah,143.64000000000001,1,higth_risk
681,2060,Sat Dec 15 10:05:00 IST 2018,228,36,1.73,Ras Al Khaimah,62.28,2,risk
1489,1954,Mon Oct 29 09:04:00 IST 2018,486,3,1.73,Ras Al Khaimah,5.1899999999999995,3,good
1391,1919,Sun Feb 03 09:25:00 IST 2019,503,3,2.88,Ras Al Khaimah,8.64,3,good
1144,1801,Mon Jul 02 07:33:00 IST 2018,515,60,6.85,Ras Al Khaimah,411.0,3,good
574,1800,Mon Dec 10 05:43:00 IST 2018,397,12,6.84,Ras Al Khaimah,82.08,4,v.good
456,2034,Mon Jan 21 09:54:00 IST 2019,674,24,5.18,Ras Al Khaimah,124.32,1,higth_risk
1959,1973,Sat Jul 21 08:14:00 IST 2018,367,36,0.58,Ras Al Khaimah,20.88,2,risk
1752,2080,Sun Dec 30 12:58:00 IST 2018,461,3,34.45,Ras Al Khaimah,103.35000000000001,3,good
1680,1921,Mon Jul 09 09:03:00 IST 2018,415,36,1.73,Ras Al Khaimah,62.28,3,good
847,1783,Sun Nov 18 11:14:00 IST 2018,273,72,0.54,Ras Al Khaimah,38.88,4,v.good
1599,1846,Mon Jun 11 11:05:00 IST 2018,536,150,3.52,Ras Al Khaimah,528.0,3,good
477,2040,Tue Dec 11 07:39:00 IST 2018,469,72,0.17,Ras Al Khaimah,12.24,1,higth_risk
1887,2030,Wed Mar 21 09:13:00 IST 2018,223,6,22.02,Umm Al Quwain,132.12,2,risk
1106,1777,Sat Feb 16 13:24:00 IST 2019,607,30,3.4,Ras Al Khaimah,102.0,3,good
1987,2039,Sun Nov 11 08:02:00 IST 2018,254,3,11.45,Ras Al Khaimah,34.349999999999994,2,risk
1775,2085,Sat Jan 12 10:09:00 IST 2019,568,3,5.7,Ras Al Khaimah,17.1,3,good
975,1808,Mon Aug 06 08:34:00 IST 2018,519,15,4.08,Ras Al Khaimah,61.2,4,v.good
1175,2018,Mon Jan 28 09:13:00 IST 2019,660,36,6.84,Ras Al Khaimah,246.24,1,higth_risk
216,1898,Wed Nov 14 05:26:00 IST 2018,535,3,6.85,Ras Al Khaimah,20.549999999999997,1,higth_risk
945,1941,Sat Feb 09 07:54:00 IST 2019,628,6,3.52,Ras Al Khaimah,21.12,1,higth_risk
1267,1933,Sun Nov 11 06:29:00 IST 2018,368,6,4.55,Ras Al Khaimah,27.299999999999997,2,risk
701,1867,Mon Oct 01 07:54:00 IST 2018,350,6,4.08,Ras Al Khaimah,24.48,4,v.good
350,1786,Mon Dec 03 11:54:00 IST 2018,539,18,5.73,Ras Al Khaimah,103.14000000000001,1,higth_risk
1141,1817,Fri Apr 13 10:36:00 IST 2018,608,9,4.08,Ras Al Khaimah,36.72,3,good
627,1804,Sun Apr 29 07:30:00 IST 2018,656,12,6.84,Ras Al Khaimah,82.08,1,higth_risk
