ID,Transaction,Time,Item -code ,NumberOfItemsPurchased,CostPerItem,CITY
958,2001,Sat Feb 02 12:50:00 IST 2019,547,6,11.73,Ras Al Khaimah
1451,1797,Wed Dec 26 09:06:00 IST 2018,530,3,3.52,Ras Al Khaimah
1400,1999,Fri Feb 15 09:45:00 IST 2019,419,72,0.9,Umm Al Quwain
458,1874,Fri Jun 22 07:14:00 IST 2018,286,3,1.73,Ras Al Khaimah
1404,1786,Mon Sep 10 11:58:00 IST 2018,267,3,3.4,Ras Al Khaimah
1157,2045,Fri Jan 11 09:50:00 IST 2019,568,12,3.52,Ras Al Khaimah
438,2065,Fri Sep 28 10:51:00 IST 2018,451,9,6.84,Ras Al Khaimah
1471,1884,Mon Sep 10 11:58:00 IST 2018,305,120,1.15,Ras Al Khaimah
663,1892,Mon Dec 10 09:23:00 IST 2018,440,36,1.18,Ras Al Khaimah
274,2056,Sat Feb 16 10:35:00 IST 2019,639,36,3.99,Ras Al Khaimah
681,2060,Sat Dec 15 10:05:00 IST 2018,228,36,1.73,Ras Al Khaimah
1489,1954,Mon Oct 29 09:04:00 IST 2018,486,3,1.73,Ras Al Khaimah
1391,1919,Sun Feb 03 09:25:00 IST 2019,503,3,2.88,Ras Al Khaimah
1144,1801,Mon Jul 02 07:33:00 IST 2018,515,60,6.85,Ras Al Khaimah
574,1800,Mon Dec 10 05:43:00 IST 2018,397,12,6.84,Ras Al Khaimah
456,2034,Mon Jan 21 09:54:00 IST 2019,674,24,5.18,Ras Al Khaimah
1959,1973,Sat Jul 21 08:14:00 IST 2018,367,36,0.58,Ras Al Khaimah
1752,2080,Sun Dec 30 12:58:00 IST 2018,461,3,34.45,Ras Al Khaimah
1680,1921,Mon Jul 09 09:03:00 IST 2018,415,36,1.73,Ras Al Khaimah
847,1783,Sun Nov 18 11:14:00 IST 2018,273,72,0.54,Ras Al Khaimah
1599,1846,Mon Jun 11 11:05:00 IST 2018,536,150,3.52,Ras Al Khaimah
477,2040,Tue Dec 11 07:39:00 IST 2018,469,72,0.17,Ras Al Khaimah
1887,2030,Wed Mar 21 09:13:00 IST 2018,223,6,22.02,Umm Al Quwain
1106,1777,Sat Feb 16 13:24:00 IST 2019,607,30,3.4,Ras Al Khaimah
1987,2039,Sun Nov 11 08:02:00 IST 2018,254,3,11.45,Ras Al Khaimah
1775,2085,Sat Jan 12 10:09:00 IST 2019,568,3,5.7,Ras Al Khaimah
975,1808,Mon Aug 06 08:34:00 IST 2018,519,15,4.08,Ras Al Khaimah
1175,2018,Mon Jan 28 09:13:00 IST 2019,660,36,6.84,Ras Al Khaimah
216,1898,Wed Nov 14 05:26:00 IST 2018,535,3,6.85,Ras Al Khaimah
945,1941,Sat Feb 09 07:54:00 IST 2019,628,6,3.52,Ras Al Khaimah
1267,1933,Sun Nov 11 06:29:00 IST 2018,368,6,4.55,Ras Al Khaimah
701,1867,Mon Oct 01 07:54:00 IST 2018,350,6,4.08,Ras Al Khaimah
350,1786,Mon Dec 03 11:54:00 IST 2018,539,18,5.73,Ras Al Khaimah
1141,1817,Fri Apr 13 10:36:00 IST 2018,608,9,4.08,Ras Al Khaimah
627,1804,Sun Apr 29 07:30:00 IST 2018,656,12,6.84,Ras Al Khaimah
1180,2074,Fri Jan 25 06:35:00 IST 2019,290,30,1.18,Ras Al Khaimah
1366,2004,Sat Mar 03 06:14:00 IST 2018,513,3,15.21,Ras Al Khaimah
510,1987,Tue Mar 27 10:29:00 IST 2018,308,12,5.7,Ras Al Khaimah
1764,1995,Mon Jul 30 11:35:00 IST 2018,465,9,2.7,Ras Al Khaimah
1084,1999,Sat Apr 21 08:05:00 IST 2018,501,6,1.18,Ras Al Khaimah
1223,2022,Sun Mar 18 07:30:00 IST 2018,243,15,4.08,Ras Al Khaimah
769,2052,Wed Feb 13 08:59:00 IST 2019,633,3,5.87,Ras Al Khaimah
730,1800,Wed May 09 10:25:00 IST 2018,210,72,0.76,Ras Al Khaimah
1803,1808,Sat Feb 24 12:46:00 IST 2018,576,3,5.18,Ras Al Khaimah
1646,2062,Sat Jan 26 11:37:00 IST 2019,553,72,0.76,Umm Al Quwain
788,2052,Sun Jul 22 11:06:00 IST 2018,448,3,5.7,Ras Al Khaimah
355,1936,Sun Oct 28 09:50:00 IST 2018,248,6,2.9,Ras Al Khaimah
1313,1958,Sun Apr 08 08:31:00 IST 2018,383,90,2.28,Ras Al Khaimah
1423,1833,Tue Nov 20 11:16:00 IST 2018,356,72,0.54,Ras Al Khaimah
916,2019,Mon Sep 17 08:56:00 IST 2018,618,72,4.68,Ras Al Khaimah
238,1924,Sun Sep 16 11:31:00 IST 2018,592,3,2.25,Ras Al Khaimah
1149,1941,Mon Oct 15 06:45:00 IST 2018,384,48,1.73,Ras Al Khaimah
1474,1870,Sun Dec 23 06:33:00 IST 2018,416,72,0.54,Ras Al Khaimah
1912,1770,Sun Dec 30 10:47:00 IST 2018,264,18,2.7,Ras Al Khaimah
1423,2069,Mon Feb 04 07:18:00 IST 2019,564,12,6.84,Ras Al Khaimah
971,1922,Tue Feb 12 06:18:00 IST 2019,366,24,2.7,Ras Al Khaimah
1410,2063,Fri Dec 07 07:30:00 IST 2018,336,24,6.84,Dubai
236,1964,Sun Feb 17 12:26:00 IST 2019,538,6,2.25,Ras Al Khaimah
